Latitude,Longitude,Stop Name,Stop Status
40.695022,-73.990743,CADMAN PZ W/TILLARY ST,at stop
40.687244,-73.941631,GATES AV/THROOP AV,at stop
40.686151,-73.974041,FULTON ST/S PORTLAND AV,at stop
40.688269,-73.932771,GATES AV/STUYVESANT AV,at stop
40.688569,-73.980088,FULTON ST/HUDSON AV,at stop
40.685607,-73.956568,GATES AV/FRANKLIN AV,approaching
40.688579,-73.930045,GATES AV/MALCOLM X BL,approaching
40.686656,-73.946773,GATES AV/MARCY AV,approaching
40.686821,-73.945335,GATES AV/TOMPKINS AV,approaching
40.69394,-73.990416,CADMAN PZ W/TILLARY ST,approaching
40.688099,-73.934199,GATES AV/STUYVESANT AV,approaching
40.690387,-73.984669,FULTON ST/BOND ST,approaching
40.690271,-73.921298,GATES AV/BROADWAY,< 1 stop away
40.687011,-73.976172,FULTON ST/S PORTLAND AV,< 1 stop away
40.686653,-73.9663,GREENE AV/VANDERBILT AV,< 1 stop away
40.700503,-73.910046,GATES AV/WYCKOFF AV,< 1 stop away
40.687456,-73.977293,FULTON ST/HUDSON AV,< 1 stop away
40.696187,-73.990993,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
